sales_order_id,date,day,month,year,customer_age,age_group,customer_gender,country,state,product_category,sub_category,product_description,order_quantity,unit_cost,unit_price,profit,cost,revenue,profit_margin,high_value_order
261711,2026-06-14,14,June,2026,30,Young Adults,Male,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4.0,420,769,1396,1680,3076,45.38,NO
261761,2026-06-26,26,June,2026,39,Adults,Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4.0,1252,2295,4172,5008,9180,45.45,YES
261779,2026-06-30,30,June,2026,30,Young Adults,Female,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,1266,2320,1054,1266,2320,45.43,NO
261695,2026-06-08,8,June,2026,44,Adults,Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,1266,2320,1054,1266,2320,45.43,NO
261738,2026-06-20,20,June,2026,49,Adults,Male,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,1252,2295,1043,1252,2295,45.45,NO
261749,2026-06-25,25,June,2026,35,Adults,Female,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4.0,308,565,1028,1232,2260,45.49,NO
261758,2026-06-26,26,June,2026,25,Young Adults,Male,France,Seine,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4.0,1252,2295,4172,5008,9180,45.45,YES
261729,2026-06-18,18,June,2026,38,Adults,Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,1266,2320,1054,1266,2320,45.43,NO
261699,2026-06-10,10,June,2026,37,Adults,Female,United  States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2.0,0,2295,2086,0,4590,45.45,NO
261773,2026-06-29,29,June,2026,30,Young Adults,Female,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3.0,1266,2320,3162,3798,6960,45.43,YES
261704,2026-06-08,8,June,2026,42,Adults,Male,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4.0,1252,2295,4172,5008,9180,45.45,YES
261742,2026-06-22,22,June,2026,29,Young Adults,Female,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,1266,2320,1054,1266,2320,45.43,NO
